impc_parameter_orig_id,parameter_name,parameter_id,param_grouping,procedure_group_id
27610,Bone,IMPC_ALZ_043_001,,2
27611,Cecum,IMPC_ALZ_044_001,,2
27612,Colon,IMPC_ALZ_045_001,,2
27613,Duodenum,IMPC_ALZ_046_001,,2
27614,Ileum,IMPC_ALZ_047_001,,2
27615,Jejunum,IMPC_ALZ_048_001,,2
27616,Gonadal fat pad,IMPC_ALZ_049_001,,2
27617,Bone  Marrow,IMPC_ALZ_050_001,,2
27618,Vas Deferens,IMPC_ALZ_051_001,,2
27619,Brown adipose tissue,IMPC_ALZ_052_001,,2
27620,Mesenteric adipose tissue,IMPC_ALZ_053_001,,2
27621,Blood,IMPC_ALZ_054_001,,2
27622,Diaphragm,IMPC_ALZ_055_001,,2
27623,Gall Bladder,IMPC_ALZ_056_001,,2
27624,Harderian Gland,IMPC_ALZ_057_001,,2
27625,Hindlimb,IMPC_ALZ_058_001,,2
27626,Quadriceps,IMPC_ALZ_059_001,,2
27627,Parathyroid gland,IMPC_ALZ_060_001,,2
27628,Parotid gland,IMPC_ALZ_061_001,,2
27629,Penis,IMPC_ALZ_062_001,,2
27630,Stomach pyloric region,IMPC_ALZ_063_001,,2
27631,Chest bone,IMPC_ALZ_064_001,,2
27632,Sciatic nerve,IMPC_ALZ_065_001,,2
27633,Cranium,IMPC_ALZ_066_001,,2
27634,Sublingual Gland,IMPC_ALZ_067_001,,2
27635,Submandibular Gland,IMPC_ALZ_068_001,,2
27636,Tongue,IMPC_ALZ_069_001,,2
27637,Trigeminal V nerve,IMPC_ALZ_070_001,,2
27638,Vagina,IMPC_ALZ_071_001,,2
27639,Vesicular Gland,IMPC_ALZ_072_001,,2
27640,Mesenteric Lymph Node,IMPC_ALZ_073_001,,2
27641,Oral epithelium,IMPC_ALZ_074_001,,2
27642,LacZ Images Section,IMPC_ALZ_075_001,,2
27643,LacZ Images Wholemount,IMPC_ALZ_076_001,,2
27644,Free Ontology,IMPC_ALZ_077_001,,2
27645,Free Ontology Annotation reason,IMPC_ALZ_078_001,,2
27646,Free text comment,IMPC_ALZ_079_001,,2
27647,Microscope equipment id,IMPC_ALZ_080_001,,2
27648,Microscope equipment manufacturer,IMPC_ALZ_081_001,,2
27649,Microscope equipment model,IMPC_ALZ_082_001,,2
27650,Date Microscope last calibrated,IMPC_ALZ_083_001,,2
27651,Detector equipment manufacturer,IMPC_ALZ_084_001,,2
27652,Detector equipment model,IMPC_ALZ_085_001,,2
27653,Objective equipment company,IMPC_ALZ_086_001,,2
27654,Objective equipment model,IMPC_ALZ_087_001,,2
27655,Objective magnification,IMPC_ALZ_088_001,,2
27656,Illumination source manufacturer,IMPC_ALZ_089_001,,2
27657,Illumination source model,IMPC_ALZ_090_001,,2
27658,Sample preparation stain name,IMPC_ALZ_091_001,,2
27659,Sample preparation reference impc,IMPC_ALZ_092_001,,2
27660,Bit Depth,IMPC_ALZ_093_001,,2
27661,Colorspace,IMPC_ALZ_094_001,,2
27662,Experimental category,IMPC_ALZ_095_001,,2
27663,Orientation,IMPC_ALZ_096_001,,2
27664,Pixels per millimeter before processing,IMPC_ALZ_097_001,,2
27665,Pixels per millimeter after processing,IMPC_ALZ_098_001,,2
27666,Showcase image,IMPC_ALZ_099_001,,2
27667,Date of Sacrifice,IMPC_ALZ_100_001,,2
27668,Date of Perfusion,IMPC_ALZ_101_001,,2
27669,Epididymis,IMPC_ALZ_102_001,,2
27670,Main olfactory bulb,IMPC_ALZ_103_001,,2
27671,Midbrain,IMPC_ALZ_104_001,,2
27672,Thalamus,IMPC_ALZ_105_001,,2
44496,Alive,IMPC_GEO_001_001,,21
44497,Scored,IMPC_GEO_002_001,,21
44498,Cardiovascular System,IMPC_GEO_003_001,,21
44499,Cardiovascular Development,IMPC_GEO_004_001,,21
44500,Heart Development,IMPC_GEO_005_001,,21
44501,Outflow tract development,IMPC_GEO_006_001,,21
44502,Heart Morphology,IMPC_GEO_008_001,,21
44503,Blood Vessel Morphology,IMPC_GEO_011_001,,21
44504,Developmental Vascular Remodelling,IMPC_GEO_012_001,,21
44505,Craniofacial,IMPC_GEO_013_001,,21
44506,Craniofacial Development,IMPC_GEO_014_001,,21
44507,Head shape,IMPC_GEO_015_001,,21
44508,Head size,IMPC_GEO_016_001,,21
44509,Embryo Size,IMPC_GEO_019_001,,21
44510,Body wall morphology,IMPC_GEO_020_001,,21
44511,Hearing/Vestibular/Ear,IMPC_GEO_021_001,,21
44512,Ear Morphology,IMPC_GEO_022_001,,21
44513,Ear Development,IMPC_GEO_023_001,,21
44514,Homeostasis/metabolism,IMPC_GEO_024_001,,21
44515,Integument,IMPC_GEO_027_001,,21
44516,Vibrissa Morphology,IMPC_GEO_028_001,,21
44517,Skin Appearance,IMPC_GEO_029_001,,21
44518,Skin Coloration,IMPC_GEO_030_001,,21
44519,Limb Bud Morphology,IMPC_GEO_031_001,,21
44520,Limb Plate Morphology,IMPC_GEO_032_001,,21
44521,Tail Morphology,IMPC_GEO_033_001,,21
44522,Liver/Biliary,IMPC_GEO_035_001,,21
44523,Liver Morphology,IMPC_GEO_036_001,,21
44524,Liver Size,IMPC_GEO_037_001,,21
44525,Nervous System,IMPC_GEO_039_001,,21
44526,Brain Development,IMPC_GEO_040_001,,21
44527,Vision/Eye,IMPC_GEO_044_001,,21
44528,Eye Morphology,IMPC_GEO_045_001,,21
44529,Eye Size,IMPC_GEO_046_001,,21
44530,Comment on image,IMPC_GEO_049_001,,21
44531,Images,IMPC_GEO_050_001,,21
44532,Experimenter ID,IMPC_GEO_051_001,,21
44533,Equipment ID,IMPC_GEO_052_001,,21
44534,Equipment Manufacturer,IMPC_GEO_053_001,,21
44535,Equipment Model,IMPC_GEO_054_001,,21
44536,Fixative,IMPC_GEO_055_001,,21
44537,Time of Dissection,IMPC_GEO_056_001,,21
44538,Somite Stage,IMPC_GEO_057_001,,21
44539,Time of dark cycle start,IMPC_GEO_058_001,,21
44540,Time of dark cycle end,IMPC_GEO_059_001,,21
44541,Date equipment last calibrated,IMPC_GEO_060_001,,21
44542,Absent heartbeat,IMPC_GEO_007_002,,21
44543,Hemorrhage,IMPC_GEO_009_002,,21
44544,Skin Hemorrhage,IMPC_GEO_010_002,,21
44545,Facial Cleft,IMPC_GEO_017_002,,21
44546,Cleft Palate,IMPC_GEO_018_002,,21
44547,Hydrops fetalis (fetal adema),IMPC_GEO_025_002,,21
44548,Gastroschisis (herniated abdominal wall),IMPC_GEO_026_002,,21
44549,Polydactyly,IMPC_GEO_034_002,,21
44550,Pale Liver,IMPC_GEO_038_002,,21
44551,Exencephaly,IMPC_GEO_041_002,,21
44552,Holoprosencephaly,IMPC_GEO_042_002,,21
44553,spina bifida,IMPC_GEO_043_002,,21
44554,Microphthalmia,IMPC_GEO_047_002,,21
44555,Anophthalmia,IMPC_GEO_048_002,,21
44556,Severely Dysmorphic,IMPC_GEO_061_001,,21
36688,Outcome,IMPC_EVP_001_001,,49
36689,Decision,IMPC_EVP_002_001,,49
36690,Comment on Decision (in English),IMPC_EVP_003_001,,49
36691,Total embryos,IMPC_EVP_004_001,,49
36692,Total embryos heterozygous,IMPC_EVP_005_001,,49
36693,Total embryos homozygous,IMPC_EVP_006_001,,49
36694,Total dead embryos,IMPC_EVP_007_001,,49
36695,Total dead WT,IMPC_EVP_008_001,,49
36696,Total dead heterozygous,IMPC_EVP_009_001,,49
36697,Total dead homozygous,IMPC_EVP_010_001,,49
36698,Total gross defect at dissection (alive or dead) embryos,IMPC_EVP_011_001,,49
36699,Total gross defect at dissection (alive or dead) WT,IMPC_EVP_012_001,,49
36700,Total gross defect at dissection (alive or dead) heterozygous,IMPC_EVP_013_001,,49
36701,Total gross defect at dissection (alive or dead) homozygous,IMPC_EVP_014_001,,49
36702,Number of reabsorptions,IMPC_EVP_015_001,,49
36703,Average Litter Size,IMPC_EVP_016_001,,49
36704,% embryos WT,IMPC_EVP_017_001,,49
36705,% embryos heterozygous,IMPC_EVP_018_001,,49
36706,% embryos homozygous,IMPC_EVP_019_001,,49
36707,Time of dark cycle start,IMPC_EVP_020_001,,49
36708,Time of dark cycle end,IMPC_EVP_021_001,,49
36709,Embryo medium,IMPC_EVP_022_001,,49
36710,Total embryos WT,IMPC_EVP_023_001,,49
36711,Total live embryos,IMPC_EVP_024_001,,49
36712,Total live heterozygous,IMPC_EVP_025_001,,49
36713,Total live WT,IMPC_EVP_026_001,,49
36714,Total live homozygous,IMPC_EVP_027_001,,49
89677,Pipeline ID(s),IMPC_HOU_003_002,,33
89678,Date effective from,IMPC_HOU_004_002,,33
89679,Date effective until,IMPC_HOU_005_002,,33
89680,Housing - temperature regulated,IMPC_HOU_009_001,,33
89681,Housing - temperature range,IMPC_HOU_068_001,,33
89682,Housing - relative humidity regulated,IMPC_HOU_012_001,,33
89683,Housing - relative humidity range,IMPC_HOU_069_001,,33
89684,Housing - ventilation managed,IMPC_HOU_015_001,,33
89685,Housing - air changes per hour in the room (range),IMPC_HOU_070_001,,33
89686,Housing - IVC ventilation,IMPC_HOU_019_001,,33
89687,Housing - air changes per hour in the IVC unit (range),IMPC_HOU_071_001,,33
89688,Housing - light source,IMPC_HOU_023_001,,33
89689,Housing - light intensity (range),IMPC_HOU_072_001,,33
89690,Housing - time lights switched on,IMPC_HOU_027_001,,33
89691,Housing - time lights switched off,IMPC_HOU_028_001,,33
89692,Housing - cage manufacturer,IMPC_HOU_073_001,,33
89693,Housing - cage model,IMPC_HOU_074_001,,33
89694,Housing - Racking system manufacturer,IMPC_HOU_075_001,,33
89695,Housing - cage dimensions (L x W x H in mm),IMPC_HOU_076_001,,33
89696,Housing - animals per cage - Female maximum,IMPC_HOU_077_001,,33
89697,Housing - animals per cage - Female minimum,IMPC_HOU_078_001,,33
89698,Housing - animals per cage - Male maximum,IMPC_HOU_079_001,,33
89699,Housing - animals per cage - Male minimum,IMPC_HOU_080_001,,33
89700,Housing - bedding type,IMPC_HOU_035_002,,33
89701,Housing - bedding pre-treatment,IMPC_HOU_036_001,,33
89702,Housing - cage enrichment,IMPC_HOU_037_002,,33
89703,Housing - frequency of cage cleaning,IMPC_HOU_038_001,,33
89704,Housing - frequency of handling (excluding phenotyping),IMPC_HOU_039_002,,33
89705,Housing - frequency of animal welfare assessments,IMPC_HOU_081_001,,33
89706,Nutrition - supplier of diet,IMPC_HOU_082_001,,33
89707,Nutrition - product ID of diet,IMPC_HOU_083_001,,33
89708,Nutrition - diet type,IMPC_HOU_041_001,,33
89709,Nutrition - average composition (based on mass) - Carbohydrate,IMPC_HOU_043_002,,33
89710,Nutrition - average composition (based on mass) - Fat,IMPC_HOU_044_002,,33
89711,Nutrition - average composition (based on mass) - Protein,IMPC_HOU_045_002,,33
89712,Nutrition - feeding regime (excluding fasting periods),IMPC_HOU_050_001,,33
89713,Nutrition - source of lipids,IMPC_HOU_051_002,,33
89714,Water - pre-treatment,IMPC_HOU_053_002,,33
89715,Water - schedule (quantity),IMPC_HOU_054_001,,33
89716,Water - supply method,IMPC_HOU_055_001,,33
89717,Microbiological status - status of your centre,IMPC_HOU_056_001,,33
89718,Microbiological status - pathogens testing frequency,IMPC_HOU_084_001,,33
89719,Phenotyping lifestage,IMPC_HOU_085_001,,33
89720,Water - quality monitored,IMPC_HOU_052_001,,33
90854,Submission Identifier,IMPC_HOU_086_001,,33
44811,Alive,IMPC_GEP_001_001,,22
44812,Scored,IMPC_GEP_002_001,,22
44813,Behavior/neurological,IMPC_GEP_003_001,,22
44814,Cardiovascular System,IMPC_GEP_006_001,,22
44815,Cardiovascular Development,IMPC_GEP_007_001,,22
44816,Heart Development,IMPC_GEP_008_001,,22
44817,Outflow tract development,IMPC_GEP_009_001,,22
44818,Heart Morphology,IMPC_GEP_010_001,,22
44819,Blood Vessel Morphology,IMPC_GEP_013_001,,22
44820,Craniofacial,IMPC_GEP_014_001,,22
44821,Head shape,IMPC_GEP_015_001,,22
44822,Head size,IMPC_GEP_016_001,,22
44823,Facial Morphology,IMPC_GEP_017_001,,22
44824,Digestive/alimentary,IMPC_GEP_020_001,,22
44825,Digestive System Morphology,IMPC_GEP_021_001,,22
44826,Embryo Size,IMPC_GEP_022_001,,22
44827,Embryo weight,IMPC_GEP_023_001,,22
44828,Body wall morphology,IMPC_GEP_024_001,,22
44829,Hearing/Vestibular/Ear,IMPC_GEP_025_001,,22
44830,Outer ear morpholgy,IMPC_GEP_026_001,,22
44831,Ear Development,IMPC_GEP_027_001,,22
44832,Homeostasis/metabolism,IMPC_GEP_028_001,,22
44833,Integument,IMPC_GEP_032_001,,22
44834,Vibrissa Morphology,IMPC_GEP_033_001,,22
44835,Skin Appearance,IMPC_GEP_034_001,,22
44836,Skin Coloration,IMPC_GEP_036_001,,22
44837,Limb Morphology,IMPC_GEP_037_001,,22
44838,Tail Morphology,IMPC_GEP_038_001,,22
44839,Liver/Biliary,IMPC_GEP_040_001,,22
44840,Liver Morphology,IMPC_GEP_041_001,,22
44841,Liver Size,IMPC_GEP_042_001,,22
44842,Muscle,IMPC_GEP_043_001,,22
44843,Diaphragm Morphology,IMPC_GEP_044_001,,22
44844,Nervous System,IMPC_GEP_045_001,,22
44845,Brain Development,IMPC_GEP_046_001,,22
44846,Renal/Urinary,IMPC_GEP_050_001,,22
44847,Kidney,IMPC_GEP_051_001,,22
44848,Respiratory System,IMPC_GEP_052_001,,22
44849,Lung Morphology,IMPC_GEP_053_001,,22
44850,Lung Development,IMPC_GEP_054_001,,22
44851,Vision/Eye,IMPC_GEP_056_001,,22
44852,Eye Morphology,IMPC_GEP_057_001,,22
44853,Eye Size,IMPC_GEP_058_001,,22
44854,Number of cervical vertebrae,IMPC_GEP_062_001,,22
44855,Comment on image,IMPC_GEP_063_001,,22
44856,Images,IMPC_GEP_064_001,,22
44857,Experimenter ID,IMPC_GEP_065_001,,22
44858,Equipment ID,IMPC_GEP_066_001,,22
44859,Equipment Manufacturer,IMPC_GEP_067_001,,22
44860,Equipment Model,IMPC_GEP_068_001,,22
44861,Fixative,IMPC_GEP_069_001,,22
44862,Time of Dissection,IMPC_GEP_070_001,,22
44863,Somite Stage,IMPC_GEP_071_001,,22
44864,Time of dark cycle start,IMPC_GEP_072_001,,22
44865,Time of dark cycle end,IMPC_GEP_073_001,,22
44866,Date equipment last calibrated,IMPC_GEP_074_001,,22
44867,Spontaneous movement,IMPC_GEP_004_002,,22
44868,Responsive to tactile stimuli,IMPC_GEP_005_002,,22
44869,Hemorrhage,IMPC_GEP_011_002,,22
44870,Skin Hemorrhage,IMPC_GEP_012_002,,22
44871,Facial Cleft,IMPC_GEP_018_002,,22
44872,Cleft Palate,IMPC_GEP_019_002,,22
44873,Cyanosis,IMPC_GEP_029_002,,22
44874,Edema,IMPC_GEP_030_002,,22
44875,Hydrops fetalis (fetal adema),IMPC_GEP_031_002,,22
44876,Pallor,IMPC_GEP_035_002,,22
44877,Polydactyly,IMPC_GEP_039_002,,22
44878,Exencephaly,IMPC_GEP_047_002,,22
44879,Holoprosencephaly,IMPC_GEP_048_002,,22
44880,spina bifida,IMPC_GEP_049_002,,22
44881,Respiratory Failure,IMPC_GEP_055_002,,22
44882,Microphthalmia,IMPC_GEP_059_002,,22
44883,Anophthalmia,IMPC_GEP_060_002,,22
44884,Failure of Eyelid Fusion,IMPC_GEP_061_002,,22
44885,Severely Dysmorphic,IMPC_GEP_075_001,,22
73074,Embryo reconstruction,IMPC_EMA_001_001,,41
73075,Experimenter ID,IMPC_EMA_002_001,,41
73076,Equipment ID,IMPC_EMA_003_001,,41
73077,Equipment Manufacturer,IMPC_EMA_004_001,,41
73078,Equipment Model,IMPC_EMA_005_001,,41
73079,Equipment Version,IMPC_EMA_006_001,,41
73080,Image Pixel Size,IMPC_EMA_007_001,,41
73081,E18.5 MicroCT Preparation protocol,IMPC_EMA_008_001,,41
73082,Date equipment last calibrated,IMPC_EMA_009_001,,41
73083,Date of Sacrifice,IMPC_EMA_010_001,,41
73084,Date Preparation Finished,IMPC_EMA_011_001,,41
73085,Date of Scan,IMPC_EMA_012_001,,41
73086,Source Voltage,IMPC_EMA_013_001,,41
73087,Source Current,IMPC_EMA_014_001,,41
73088,Object to Source,IMPC_EMA_015_001,,41
73089,Camera to Source,IMPC_EMA_016_001,,41
73090,Screenshots,IMPC_EMA_017_001,,41
73091,Limb digits,IMPC_EMA_018_001,,41
73092,Tail,IMPC_EMA_019_001,,41
73093,Limbs,IMPC_EMA_020_001,,41
73094,Pinna,IMPC_EMA_021_001,,41
73095,Vibrissa,IMPC_EMA_022_001,,41
73096,Edema,IMPC_EMA_023_001,,41
73097,Embryo size,IMPC_EMA_024_001,,41
73098,Spinal Cord,IMPC_EMA_025_001,,41
73099,Spine curvature,IMPC_EMA_026_001,,41
73100,Craniofacial morphology,IMPC_EMA_027_001,,41
73101,Hindbrain subarachnoid space,IMPC_EMA_028_001,,41
73102,Midbrain roof plate,IMPC_EMA_029_001,,41
73103,Midbrain,IMPC_EMA_030_001,,41
73104,Cerebellum,IMPC_EMA_031_001,,41
73105,Cerebral cortex,IMPC_EMA_032_001,,41
73106,Thalamus,IMPC_EMA_033_001,,41
73107,Corpus striatum,IMPC_EMA_034_001,,41
73108,Hippocampus,IMPC_EMA_035_001,,41
73109,Hypothalamus,IMPC_EMA_036_001,,41
73110,Pineal gland,IMPC_EMA_037_001,,41
73111,Pons,IMPC_EMA_038_001,,41
73112,Medulla oblongata,IMPC_EMA_039_001,,41
73113,Lateral ventricles,IMPC_EMA_040_001,,41
73114,Lateral ventricle choroid plexus,IMPC_EMA_041_001,,41
73115,4th ventricle choroid plexus,IMPC_EMA_042_001,,41
73116,4th Ventricle,IMPC_EMA_043_001,,41
73117,Cerebral aqueduct,IMPC_EMA_044_001,,41
73118,Median sulcus,IMPC_EMA_045_001,,41
73119,3rd ventricle,IMPC_EMA_046_001,,41
73120,Olfactory lobe,IMPC_EMA_047_001,,41
73121,Trigeminal ganglion,IMPC_EMA_048_001,,41
73122,Pituitary gland,IMPC_EMA_049_001,,41
73123,Spinal cord cervical region,IMPC_EMA_050_001,,41
73124,Dorsal root ganglion,IMPC_EMA_051_001,,41
73125,Cochlea,IMPC_EMA_052_001,,41
73126,Nasal septum,IMPC_EMA_053_001,,41
73127,Nasal cavity,IMPC_EMA_054_001,,41
73128,Nasopharynx,IMPC_EMA_055_001,,41
73129,Vomeronasal organ,IMPC_EMA_056_001,,41
73130,Oropharynx,IMPC_EMA_057_001,,41
73131,Oral cavity,IMPC_EMA_058_001,,41
73132,Optic nerve,IMPC_EMA_059_001,,41
73133,Intraretinal space,IMPC_EMA_060_001,,41
73134,Hyaloid cavity,IMPC_EMA_061_001,,41
73135,Cornea,IMPC_EMA_062_001,,41
73136,Lens,IMPC_EMA_063_001,,41
73137,Eyelids,IMPC_EMA_064_001,,41
73138,Temporal bone,IMPC_EMA_065_001,,41
73139,Pharyngo-tympanic tube,IMPC_EMA_066_001,,41
73140,Palate,IMPC_EMA_067_001,,41
73141,Epiglottis,IMPC_EMA_068_001,,41
73142,Tongue,IMPC_EMA_069_001,,41
73143,Mandible,IMPC_EMA_070_001,,41
73144,Lower jaw molar,IMPC_EMA_071_001,,41
73145,Upper jaw molar,IMPC_EMA_072_001,,41
73146,Sphenoid bone,IMPC_EMA_073_001,,41
73147,Thyroid gland,IMPC_EMA_074_001,,41
73148,Submandibular gland,IMPC_EMA_075_001,,41
73149,Brown fat,IMPC_EMA_076_001,,41
73150,Vertebrae,IMPC_EMA_077_001,,41
73151,Esophagus,IMPC_EMA_078_001,,41
73152,Clavicle,IMPC_EMA_079_001,,41
73153,Scapula,IMPC_EMA_080_001,,41
73154,Ulna,IMPC_EMA_081_001,,41
73155,Humerus,IMPC_EMA_082_001,,41
73156,Arytenoid cartilage,IMPC_EMA_083_001,,41
73157,Cricoid cartilage,IMPC_EMA_084_001,,41
73158,Trachea,IMPC_EMA_085_001,,41
73159,Carotid artery,IMPC_EMA_086_001,,41
73160,Thymus,IMPC_EMA_087_001,,41
73161,Sternum,IMPC_EMA_088_001,,41
73162,Rib,IMPC_EMA_089_001,,41
73163,T1 rib,IMPC_EMA_090_001,,41
73164,Vena cava,IMPC_EMA_091_001,,41
73165,Inferior vena cava,IMPC_EMA_092_001,,41
73166,Superior vena cava,IMPC_EMA_093_001,,41
73167,Jugular vein,IMPC_EMA_094_001,,41
73168,Ductus arteriosus,IMPC_EMA_095_001,,41
73169,Pulmonary valve,IMPC_EMA_096_001,,41
73170,Pulmonary trunk,IMPC_EMA_097_001,,41
73171,Dorsal aorta,IMPC_EMA_098_001,,41
73172,Ductus venosus,IMPC_EMA_099_001,,41
73173,Aorta,IMPC_EMA_100_001,,41
73174,Aortic valve,IMPC_EMA_101_001,,41
73175,Heart atrium,IMPC_EMA_102_001,,41
73176,Heart ventricle,IMPC_EMA_103_001,,41
73177,Tricuspid valve,IMPC_EMA_104_001,,41
73178,Mitral valve,IMPC_EMA_105_001,,41
73179,Interventricular septum,IMPC_EMA_106_001,,41
73180,Pericardial cavity,IMPC_EMA_107_001,,41
73181,Pericardium,IMPC_EMA_108_001,,41
73182,Main bronchus,IMPC_EMA_109_001,,41
73183,Bronchus,IMPC_EMA_110_001,,41
73184,Right lung cranial lobe,IMPC_EMA_111_001,,41
73185,Right lung middle lobe,IMPC_EMA_112_001,,41
73186,Right lung caudal lobe,IMPC_EMA_113_001,,41
73187,Right lung accessory lobe,IMPC_EMA_114_001,,41
73188,Left lung,IMPC_EMA_115_001,,41
73189,Diaphragm,IMPC_EMA_116_001,,41
73190,Peritoneal cavity,IMPC_EMA_117_001,,41
73191,Liver,IMPC_EMA_118_001,,41
73192,Liver left lobe,IMPC_EMA_119_001,,41
73193,Liver right lobe,IMPC_EMA_120_001,,41
73194,Liver caudate lobe,IMPC_EMA_121_001,,41
73195,Gallbladder,IMPC_EMA_122_001,,41
73196,Liver lobar interzone,IMPC_EMA_123_001,,41
73197,Pancreas,IMPC_EMA_124_001,,41
73198,Stomach,IMPC_EMA_125_001,,41
73199,Pyloric antrum,IMPC_EMA_126_001,,41
73200,Stomach fundus,IMPC_EMA_127_001,,41
73201,Stomach lumen,IMPC_EMA_128_001,,41
73202,Small intestine,IMPC_EMA_129_001,,41
73203,Hindgut,IMPC_EMA_130_001,,41
73204,Midgut,IMPC_EMA_131_001,,41
73205,Hip joint,IMPC_EMA_132_001,,41
73206,Femur,IMPC_EMA_133_001,,41
73207,Fibula,IMPC_EMA_134_001,,41
73208,Tibia,IMPC_EMA_135_001,,41
73209,Adrenal gland,IMPC_EMA_136_001,,41
73210,Kidney,IMPC_EMA_137_001,,41
73211,Renal calyx,IMPC_EMA_138_001,,41
73212,Bladder,IMPC_EMA_139_001,,41
73213,Rectum,IMPC_EMA_140_001,,41
73214,Spleen,IMPC_EMA_141_001,,41
73215,Ovary,IMPC_EMA_142_001,,41
73216,Testes,IMPC_EMA_143_001,,41
73217,Penis,IMPC_EMA_144_001,,41
73218,Circumventricular organ,IMPC_EMA_145_001,,41
73219,Hyoid,IMPC_EMA_146_001,,41
73220,Severely dysmorphic,IMPC_EMA_147_001,,41
73221,Delayed embryonic development,IMPC_EMA_148_001,,41
73222,Annotator ID,IMPC_EMA_149_001,,41
73223,Date of Annotation,IMPC_EMA_150_001,,41
17722,Response amplitude - BN,IMPC_ACS_001_001,,1
17723,Response amplitude - PP1,IMPC_ACS_002_001,,1
17724,Response amplitude - PP2,IMPC_ACS_003_001,,1
17725,Response amplitude - PP3,IMPC_ACS_004_001,,1
17726,Response amplitude - PP4,IMPC_ACS_005_001,,1
17727,Response amplitude - S,IMPC_ACS_006_001,,1
17728,Response amplitude - PP1_S,IMPC_ACS_007_001,,1
17729,Response amplitude - PP2_S,IMPC_ACS_008_001,,1
17730,Response amplitude - PP3_S,IMPC_ACS_009_001,,1
17731,Response amplitude - PP4_S,IMPC_ACS_010_001,,1
17732,Light level in chamber,IMPC_ACS_011_001,,1
17733,Date and time,IMPC_ACS_012_001,,1
17734,Experimenter ID,IMPC_ACS_014_001,,1
17735,Startle stimulus,IMPC_ACS_015_001,,1
17736,Background noise,IMPC_ACS_016_001,,1
17737,Pre-pulse stimulus 1,IMPC_ACS_017_001,,1
17738,Pre-pulse stimulus 2,IMPC_ACS_018_001,,1
17739,Pre-pulse stimulus 3,IMPC_ACS_019_001,,1
17740,Pre-pulse stimulus 4,IMPC_ACS_020_001,,1
17741,Inter-trial interval,IMPC_ACS_021_001,,1
17742,Number of trials,IMPC_ACS_022_001,,1
17743,In-chamber adapt time,IMPC_ACS_023_001,,1
