"GENE_ACCESSION_ID","GENE_SYMBOL","MOUSE_STRAIN","MOUSE_LIFE_STAGE","PARAMETER_ID","PVALUE","PARAMETER_NAME","ANALYSIS_ID"
"MGI:1914759","Saysd1","C57BL","Early adult","GMC_920_001_011",0.5169703,"MIF-active","015d0f5r118r3iv"
"MGI:104659","Dll1","C3H","Early adult","IMPC_DXA_006_001",0.2230201,"Body length","01647fencia1827"
"MGI:1926283","Pgap6","C57BL","Early adult","IMPC_CSD_005_001",0.7460355,"Coat - color - back","01677b9052l552h"
"MGI:1926283","Pgap6","C57BL","Early adult","IMPC_IMM_033_002",0.07875005,"NaÃÂ¯ve CD8+ T cells - % of live leukocytes (Panel A)","0168c6076lh6js4"
"MGI:1859866","Cdc20","C57BL","Early adult","IMPC_IPG_011_001",0.4940436,"Initial response to glucose challenge","016yf8oh79r95p5"
"MGI:96669","Kcnc3","C57BL","Early adult","IMPC_GRS_008_001",0.7185532,"Forelimb grip strength measurement mean","0179o5i75g6f5co"
"MGI:1347061","Abcg2","C57BL","Early adult","ESLIM_016_001_005",0.6270885,"Mean cell volume","017k341w67h805n"
"MGI:1916340","Ascc1","C57BL","E18.5","IMPC_OFD_007_001",0.1055494,"Whole arena resting time","01866tnb7c0aq0h"
"MGI:1859866","Cdc20","C57BL","E12.5","IMPC_IPG_011_001",0.7872938,"Initial response to glucose challenge","018g1ej3503kzoh"
"MGI:2180565","Pnma3","C57BL","Middle aged adult","IMPC_HEM_027_001",0.9354893,"Red blood cell distribution width","019303uy4d3jx5x"
"MGI:2442978","Ogfod1","129SV","Early adult","GMC_916_001_013",0.09650187,"Entries on Board","01990v1bl5h8s71"
"MGI:87939","Adrb3","C57BL","Early adult","JAXLA_OFD_007_001",0.4749635,"Whole arena resting time","019guaz88wirjsx"
"MGI:2180565","Pnma3","C57BL","Middle aged adult","IMPC_EYE_069_001",0.1264148,"Left inner nuclear layer","019pc65z89072j9"
"MGI:2685298","Trim56",NA,"Early adult","IMPC_CSD_007_001",0.6984986,"Coat - color - abdomen","01b0o9ij72ihiu7"
"MGI:108398","Mlx","C57BL","Early adult","GMC_920_001_024",0.3797816,"MIF-rest","01b3phymoe86826"
"MGI:1321393","Timeless","C57BL","Early adult","IMPC_ABR_010_001",0.8104069,"24kHz-evoked ABR Threshold","01b455a8548eny6"
"MGI:1915756","Ctnnbip1","C57BL","E15.5","IMPC_ABR_010_001",0.519751,"24kHz-evoked ABR Threshold","01bau5f3066db7c"
"MGI:3652306","Krtap4-8","C57BL","Early adult","IMPC_IMM_033_002",0.5947456,"NaÃÂ¯ve CD8+ T cells - % of live leukocytes (Panel A)","01bmc38n56lql4c"
"MGI:1914969","2310057J18Rik","C57BL","Early adult","JAXLA_OFD_020_001",0.1390564,"Distance travelled - total","01e038339nzj7m3"
"MGI:1915987","Angel1","C57BL","Early adult","IMPC_OFD_007_001",0.5236769,"Whole arena resting time","01ec6jab6363nqh"
"MGI:109186","Ncf4",NA,"Early adult","IMPC_CBC_003_001",0.930578,"Chloride","01er8747jahpy8d"
"MGI:2685508","A830031A19Rik","C57BL","Early adult","IMPC_ABR_006_001",0.2496151,"12kHz-evoked ABR Threshold","01ex3rnbaf6s99z"
"MGI:108398","Mlx","C57BL","Early adult","CCP_XRY_062_001",0.8043884,"Polysyndactylism","01ey6ud916i19ii"
"MGI:1913883","Nsa2","C57BL","E9.5","GMC_912_001_008",0.7156961,"B-Wave 12500 Cd/mÂ² right eye","01f06y4e7d30m7c"
"MGI:104992","Crybb1","C57BL","Early adult","IMPC_DXA_007_001",0.6769088,"BMC/Body weight","01f68el85f897fh"
"MGI:1914267","Fam210b","C57BL","Early adult","IMPC_CSD_007_001",0.1329136,"Coat - color - abdomen","01gj1kxt4b4xz77"
"MGI:1916315","Chac1","C57BL","Early adult","IMPC_GEP_024_001",0.311832,"Body wall morphology","01p92r7pqcu3ro7"
"MGI:3643383","Calhm1",NA,"Early adult","GMC_916_001_013",0.8169962,"Entries on Board","01q230n3420968c"
"MGI:1333798","Avil","C57BL","Early adult","JAXLA_OFD_013_001",0.3779146,"Periphery average speed","01r4dwu07256ypo"
"MGI:2384919","Rxylt1","C57BL","Middle aged adult","IMPC_CBC_012_001",0.7053332,"Aspartate aminotransferase","01r4sce6488097u"
"MGI:1321393","Timeless","C57BL","Early adult","IMPC_IMM_033_002",0.9439885,"NaÃÂ¯ve CD8+ T cells - % of live leukocytes (Panel A)","01r65fw51608opo"
"MGI:1321393","Timeless","C57BL","Early adult","JAX_OFD_014_001",0.8703492,"Center distance travelled","01rzm3jwno1bc8s"
"MGI:1921004","Thap1","C57BL","Early adult","GMC_906_001_001",0.9403555,"Glucose","01t57ev75x6n6s1"
"MGI:892866","Dgcr2","C57BL","Early adult","IMPC_CBC_010_001",0.1421451,"Phosphorus","01ube016c17m0i3"
"MGI:1913883","Nsa2","C57BL","E9.5","JAX_URI_005_001",0.82079,"Glucose","01usa5q575kw7ry"
"MGI:2137624","Pom121","C57BL","E9.5","GMC_920_001_035",0.5803001,"Ti/TT-sleep","01v7i494zr0054q"
"MGI:2684917","Vcpkmt","C57BL","Early adult","IMPC_OFD_021_001",0.1215807,"Number of rears - total","01wog6lv8yjdc7r"
"MGI:1344370","Ndufc2","C57BL","Early adult","ESLIM_015_001_002",0.4036439,"Urea","01xp89eg130832c"
"MGI:1926283","Pgap6","C57BL","Early adult","JAX_OFD_013_001",0.893059,"Periphery average speed","01xx7a6c6n3y333"
"MGI:97489","Pax5","C57BL","Early adult","IMPC_CBC_016_001",0.5839118,"HDL-cholesterol","01y9620szcy7m08"
"MGI:1921004","Thap1","C57BL","E9.5","IMPC_ACS_035_001",0.6948289,"% Pre-pulse inhibition - PPI3","0202r05ajx43ng4"
"MGI:1917180","Zfp715","C57BL","Early adult","IMPC_CBC_009_001",0.7991172,"Calcium","0203ncn6kqvbh6v"
"MGI:1915756","Ctnnbip1","C57BL","E15.5","IMPC_HEM_027_001",0.7839602,"Red blood cell distribution width","020v750at5um2xh"
"MGI:1921004","Thap1","C57BL","E9.5","IMPC_CSD_013_001",0.2511019,"Coat - hair distribution - abdomen","0212195zp59bcnv"
"MGI:1098240","Kif16b","C57BL","Early adult","IMPC_EYE_018_001",0.3266636,"Fusion between cornea and lens","0213406lnzlkejq"
"MGI:1921004","Thap1","C57BL","E12.5","IMPC_CSD_009_001",0.3504357,"Coat - color pattern - head","0215mnddm0762t1"
"MGI:2684917","Vcpkmt","C57BL","Early adult","IMPC_GRS_008_001",0.7760247,"Forelimb grip strength measurement mean","0218k704363t38n"
"MGI:1919891","Mob2","C57BL","Early adult","IMPC_XRY_012_001",0.1802748,"Pelvis","0222810e6tc0u92"
"MGI:1921004","Thap1","C57BL","E12.5","IMPC_CBC_023_001",0.9768081,"Alpha-amylase","022r079639v3y42"
"MGI:2139134","Cercam","C57BL","Early adult","IMPC_CBC_017_001",0.6750529,"Triglycerides","02345xqj468u992"
"MGI:3643534","Angptl8","C57BL","Early adult","JAX_OFD_014_001",0.582982,"Center distance travelled","0234s5da090r5qj"
"MGI:3588207","Dnaaf3","C57BL","Early adult","GMC_906_001_017",0.4278132,"Total cholesterol","02424838rsukl12"
"MGI:2442978","Ogfod1","C57BL","Early adult","CCP_XRY_031_001",0.3950716,"Digit integrity","02455xt512940w8"
"MGI:1919891","Mob2","C57BL","Early adult","IMPC_INS_001_001",0.3452592,"Insulin","0248139c411bs2c"
"MGI:2384919","Rxylt1","C57BL","Early adult","GMC_920_001_014",0.8541899,"sMV-active","024k166v09iadpj"
"MGI:2385852","Tifab","C57BL","Early adult","IMPC_HEM_039_001",0.7954071,"Large Unstained Cell (LUC) count","024s10t24m1917h"
"MGI:3588207","Dnaaf3","C57BL","Early adult","IMPC_GRS_008_001",0.2442134,"Forelimb grip strength measurement mean","0251gwwcgmy9j7d"
"MGI:1920393","Wdr37","C57BL","Early adult","ESLIM_009_001_703",0.9843105,"Forelimb grip strength normalised against body weight","02551g7026h966s"
"MGI:3588207","Dnaaf3","C57BL","E18.5","HRWL_OWT_001_001",0.5294437,"Spleen weight","025cs5rzh3348t4"
"MGI:1917933","Utp20","C57BL","E18.5","IMPC_EYE_064_001",0.1071858,"Right outer nuclear layer","026025mxrr1c988"
"MGI:1916419","Fcmr","C57BL","Early adult","IMPC_CSD_005_001",0.744818,"Coat - color - back","0261c14q02l87mk"
"MGI:87939","Adrb3","C57BL","Early adult","IMPC_HEM_001_001",0.472781,"White blood cell count","02633b1621s504q"
"MGI:1921004","Thap1","C57BL","Early adult","IMPC_CAL_017_001",0.7887729,"Respiratory Exchange Ratio","02682y58167tee5"
"MGI:1915756","Ctnnbip1","C57BL","Early adult","IMPC_CBC_014_001",0.1885605,"Alkaline phosphatase","026aay3qmu0whgm"
"MGI:2685298","Trim56","C57BL","Early adult","IMPC_CSD_013_001",0.43936,"Coat - hair distribution - abdomen","026ixm6jx8onxst"
"MGI:2654703","Otud7b","C57BL","Early adult","IMPC_ABR_008_001",0.583022,"18kHz-evoked ABR Threshold","026n1535j34648b"
"MGI:1338893","Padi1","C57BL","Early adult","IMPC_OWT_002_001",0.7431365,"Spleen weight","026pg672289808x"
"MGI:1918830","Mtrf1l","129SV","Early adult","GMC_920_001_011",0.6409815,"MIF-active","02731cko3q9f34s"
"MGI:2443086","Mindy2","C57BL","Early adult","IMPC_HEM_031_001",0.5591997,"Lymphocyte differential count","02734189vsbn643"
"MGI:1917933","Utp20","C57BL","E9.5","IMPC_XRY_012_001",0.7114477,"Pelvis","02765x0yn07z34h"
"MGI:2442978","Ogfod1","C57BL","Early adult","JAX_OFD_010_001",0.2273505,"Periphery distance travelled","0276mr3hakagj64"
"MGI:1917180","Zfp715","C57BL","Early adult","IMPC_EYE_003_001",0.8055536,"Eye Hemorrhage or Blood Presence","02775d32ar798w7"
"MGI:3588207","Dnaaf3","C57BL","E18.5","GMC_906_001_018",0.1402064,"Triglyceride","02784n42gr72jh4"
"MGI:95321","Emb","C57BL","Early adult","GMC_905_001_003",0.8498195,"Platelet","0287i52wu3y1oye"
"MGI:2443086","Mindy2","C57BL","Late adult","IMPC_IMM_024_001",0.6499206,"DN CD25+ NKT cells","028md98a699032f"
"MGI:1926283","Pgap6","C57BL","Early adult","IMPC_CBC_005_001",0.852548,"Creatinine","028n9o41m5005f2"
"MGI:95321","Emb","C57BL","Early adult","ESLIM_009_001_703",0.9632705,"Forelimb grip strength normalised against body weight","028o9165x46c776"
"MGI:1916340","Ascc1","C57BL","E18.5","GMC_923_001_001",0.2969338,"Body weight","028r7f095u0um71"
"MGI:1926020","Arl14ep","C57BL","Early adult","JAX_OFD_010_001",0.2699623,"Periphery distance travelled","028s41im9sx9c46"
"MGI:1920703","1700067K01Rik","C57BL","Early adult","UCDLA_CBC_015_001",0.6953605,"Total cholesterol","02907qgs1zk70a6"
"MGI:98930","Vil1","C57BL","Early adult","IMPC_HEM_040_001",0.8211397,"Large Unstained Cell (LUC) differential count","0290mc3d39648a1"
"MGI:1917933","Utp20","C57BL","E18.5","GMC_923_001_021",0.8009943,"Contact Righting Reflex","02943z55291vqt6"
"MGI:3046938","Hrnr","C57BL","Early adult","IMPC_EYE_026_001",0.499007,"Retinal Blood Vessels Pattern","02950g693f7kdxx"
"MGI:1859866","Cdc20","C57BL","E9.5","JAX_OFD_021_001",0.6635387,"Number of rears - total","0295116uznul032"
"MGI:104992","Crybb1","C57BL","Early adult","IMPC_GEP_024_001",0.0836217,"Body wall morphology","029al0jgw9l20p6"
"MGI:1919891","Mob2","C57BL","Early adult","IMPC_EYE_063_001",0.7264614,"Right inner nuclear layer","029w068qi138ax6"
"MGI:1916340","Ascc1","C57BL","E18.5","IMPC_GEO_069_001",0.2801137,"Delayed embryonic development","02a0kp8t13609y5"
"MGI:892866","Dgcr2","C57BL","Early adult","IMPC_HEM_027_001",0.3429677,"Red blood cell distribution width","02a4kub9292d4y8"
"MGI:1328358","Myom2","C57BL","Early adult","CCP_LDT_001_001",0.5241558,"Side changes","02a78zq628xsp17"
"MGI:2384919","Rxylt1","C57BL","Late adult","JAX_URI_001_001",0.9400318,"microAlbumin (calculated)","02anw893zku7xe7"
"MGI:2139134","Cercam","C57BL","Early adult","IMPC_IMM_033_002",0.4954138,"NaÃÂ¯ve CD8+ T cells - % of live leukocytes (Panel A)","02c1r647ukr97z6"
"MGI:97491","Pax7","C57BL","E15.5","GMC_914_001_004",0.05831739,"Feces production","02cv6bv09bxb3r9"
"MGI:1921004","Thap1","C57BL","E12.5","JAX_OFD_007_001",0.6634659,"Whole arena resting time","02e3yt9728t1a4u"
"MGI:2684917","Vcpkmt","C57BL","Early adult","CCP_LDT_001_001",0.06687015,"Side changes","02hcdn3c824t767"
"MGI:1923061","Saxo1","C57BL","Early adult","GMC_905_001_011",0.5856669,"Absolute number of lymphocytes","02hw5x1am4y92a3"
"MGI:2684917","Vcpkmt","C57BL","Early adult","IMPC_GEP_024_001",0.5563113,"Body wall morphology","02i07ak4o3yf995"
"MGI:1333863","Pde3b","C57BL","Early adult","ESLIM_015_001_002",0.1393065,"Urea","02i0d03421cr556"
"MGI:3646964","Fscb","C57BL","Early adult","JAXLA_OFD_017_001",0.1133948,"Center average speed","02i5a6gm13me897"
"MGI:1328358","Myom2","C57BL","Early adult","IMPC_OFD_021_001",0.6965602,"Number of rears - total","02i8huni593ccs6"
