parameter_name,parameter_description,parameter_id
Hippocampus,hippocampus,IMPC_ALZ_035_001
Hypothalamus,hypothalamus,IMPC_ALZ_036_001
Olfactory Lobe,olfactory_lobe,IMPC_ALZ_037_001
Peripheral Nervous System,peripheral_nervous_system,IMPC_ALZ_038_001
Peyers Patch,peyers_patch,IMPC_ALZ_039_001
Striatum,straiatum,IMPC_ALZ_040_001
Vascular System,vascular_system,IMPC_ALZ_041_001
Urinary bladder,urinary bladder,IMPC_ALZ_042_001
Bone,bone,IMPC_ALZ_043_001
Cecum,cecum,IMPC_ALZ_044_001
Colon,colon,IMPC_ALZ_045_001
Duodenum,duodenum,IMPC_ALZ_046_001
Ileum,ileum,IMPC_ALZ_047_001
Jejunum,jejunum,IMPC_ALZ_048_001
Gonadal fat pad,adipose_gonad,IMPC_ALZ_049_001
Bone  Marrow,bone_marrow,IMPC_ALZ_050_001
Vas Deferens,vas_deferens,IMPC_ALZ_051_001
Brown adipose tissue,adipose_brown,IMPC_ALZ_052_001
Mesenteric adipose tissue,adipose_mesenteric,IMPC_ALZ_053_001
Blood,blood_smear,IMPC_ALZ_054_001
Diaphragm,diaphragm,IMPC_ALZ_055_001
Gall Bladder,gall_bladder,IMPC_ALZ_056_001
Harderian Gland,hardarian_gland,IMPC_ALZ_057_001
Hindlimb,hind_limb,IMPC_ALZ_058_001
Quadriceps,muscle_quad,IMPC_ALZ_059_001
Parathyroid gland,parathyroid,IMPC_ALZ_060_001
Parotid gland,parotid_gland,IMPC_ALZ_061_001
Penis,penis,IMPC_ALZ_062_001
Stomach pyloric region,pylorus,IMPC_ALZ_063_001
Chest bone,ribcage,IMPC_ALZ_064_001
Sciatic nerve,sciatic_nerve_quad,IMPC_ALZ_065_001
Cranium,skull,IMPC_ALZ_066_001
Sublingual Gland,sublingual_gland,IMPC_ALZ_067_001
Submandibular Gland,submandibular_gland,IMPC_ALZ_068_001
Tongue,tongue,IMPC_ALZ_069_001
Trigeminal V nerve,trigeminal_nerve,IMPC_ALZ_070_001
Vagina,vagina,IMPC_ALZ_071_001
Vesicular Gland,vesicular_gland,IMPC_ALZ_072_001
Mesenteric Lymph Node,mesenteric_lymph_node,IMPC_ALZ_073_001
Oral epithelium,oral_epithelia,IMPC_ALZ_074_001
LacZ Images Section,lacz_images_section,IMPC_ALZ_075_001
LacZ Images Wholemount,lacz_images_wholemount,IMPC_ALZ_076_001
Free Ontology,free_ontology,IMPC_ALZ_077_001
Free Ontology Annotation reason,free_ontology_annotation_reason,IMPC_ALZ_078_001
Free text comment,free_text_comment,IMPC_ALZ_079_001
Microscope equipment id,microscope_equipment_id,IMPC_ALZ_080_001
Microscope equipment manufacturer,microscope_equipment_manufacturer,IMPC_ALZ_081_001
Microscope equipment model,microscope_equipment_model,IMPC_ALZ_082_001
Date Microscope last calibrated,date_microscope_last_calibrated,IMPC_ALZ_083_001
Detector equipment manufacturer,detector_equipment_manufacturer,IMPC_ALZ_084_001
Detector equipment model,detector_equipment_model,IMPC_ALZ_085_001
Objective equipment company,objective_equipment_company,IMPC_ALZ_086_001
Objective equipment model,objective_equipment_model,IMPC_ALZ_087_001
Objective magnification,objective_magnification,IMPC_ALZ_088_001
Illumination source manufacturer,illumination_source_manufacturer,IMPC_ALZ_089_001
Illumination source model,illumination_source_model,IMPC_ALZ_090_001
Sample preparation stain name,sample_preparation_stain_name,IMPC_ALZ_091_001
Sample preparation reference impc,sample_preparation_reference_impc,IMPC_ALZ_092_001
Bit Depth,bit_depth,IMPC_ALZ_093_001
Colorspace,colorspace,IMPC_ALZ_094_001
Experimental category,experimental_category,IMPC_ALZ_095_001
Orientation,orientation,IMPC_ALZ_096_001
Pixels per millimeter before processing,pixels_per_millimeter_before_processing,IMPC_ALZ_097_001
Pixels per millimeter after processing,pixels_per_millimeter_after_processing,IMPC_ALZ_098_001
Showcase image,showcase_image,IMPC_ALZ_099_001
Date of Sacrifice,date_of_sacrifice,IMPC_ALZ_100_001
Date of Perfusion,date_of_perfusion,IMPC_ALZ_101_001
Epididymis,NA,IMPC_ALZ_102_001
Main olfactory bulb,NA,IMPC_ALZ_103_001
Midbrain,NA,IMPC_ALZ_104_001
Thalamus,NA,IMPC_ALZ_105_001
Alive,alive,IMPC_GEO_001_001
Scored,scored,IMPC_GEO_002_001
Cardiovascular System,cardiovascular_system,IMPC_GEO_003_001
Cardiovascular Development,cardiovascular_development,IMPC_GEO_004_001
Heart Development,heart_development,IMPC_GEO_005_001
Outflow tract development,outflow_tract_development,IMPC_GEO_006_001
Heart Morphology,heart_morphology,IMPC_GEO_008_001
Blood Vessel Morphology,blood_vessel_morphology,IMPC_GEO_011_001
Developmental Vascular Remodelling,developmental_vascular_remodelling,IMPC_GEO_012_001
Craniofacial,craniofacial,IMPC_GEO_013_001
Craniofacial Development,craniofacial_development,IMPC_GEO_014_001
Head shape,head_shape,IMPC_GEO_015_001
Head size,head_size,IMPC_GEO_016_001
Embryo Size,embryo_size,IMPC_GEO_019_001
Body wall morphology,body_wall_morphology,IMPC_GEO_020_001
Hearing/Vestibular/Ear,hearing_vestibular_ear,IMPC_GEO_021_001
Ear Morphology,abnormal_ear_morphology,IMPC_GEO_022_001
Ear Development,ear_development,IMPC_GEO_023_001
Homeostasis/metabolism,homeostasis_metabolism,IMPC_GEO_024_001
Integument,integument,IMPC_GEO_027_001
Vibrissa Morphology,vibrissa_morphology,IMPC_GEO_028_001
Skin Appearance,skin_appearance,IMPC_GEO_029_001
Skin Coloration,skin_coloration,IMPC_GEO_030_001
Limb Bud Morphology,limb_bud_morphology,IMPC_GEO_031_001
Limb Plate Morphology,limb_plate_morphology,IMPC_GEO_032_001
Tail Morphology,tail_morphology,IMPC_GEO_033_001
Liver/Biliary,liver_biliary,IMPC_GEO_035_001
Liver Morphology,liver_morphology,IMPC_GEO_036_001
Liver Size,liver_size,IMPC_GEO_037_001
Nervous System,nervous_system,IMPC_GEO_039_001
Brain Development,brain_development,IMPC_GEO_040_001
Vision/Eye,vision_eye,IMPC_GEO_044_001
Eye Morphology,eye_morphology,IMPC_GEO_045_001
Eye Size,eye_size,IMPC_GEO_046_001
Comment on image,comment_on_image,IMPC_GEO_049_001
Images,images,IMPC_GEO_050_001
Experimenter ID,experimenter_id,IMPC_GEO_051_001
Equipment ID,equipment_id,IMPC_GEO_052_001
Equipment Manufacturer,equipment_manufacturer,IMPC_GEO_053_001
Equipment Model,equipment_model,IMPC_GEO_054_001
Fixative,fixative,IMPC_GEO_055_001
Time of Dissection,time_of_dissection,IMPC_GEO_056_001
Somite Stage,somite_stage,IMPC_GEO_057_001
Time of dark cycle start,time_of_dark_cycle_start,IMPC_GEO_058_001
Time of dark cycle end,time_of_dark_cycle_end,IMPC_GEO_059_001
Date equipment last calibrated,date_equipment_last_calibrated,IMPC_GEO_060_001
Absent heartbeat,absent_heartbeat,IMPC_GEO_007_002
Hemorrhage,hemorrhage,IMPC_GEO_009_002
Skin Hemorrhage,skin_hemorrhage,IMPC_GEO_010_002
Facial Cleft,facial_cleft,IMPC_GEO_017_002
Cleft Palate,cleft_palate,IMPC_GEO_018_002
Hydrops fetalis (fetal adema),hydrops_fetalis_fetal_adema,IMPC_GEO_025_002
Gastroschisis (herniated abdominal wall),gastroschisis_herniated_abdominal_wall,IMPC_GEO_026_002
Polydactyly,polydactyly,IMPC_GEO_034_002
Pale Liver,pale_liver,IMPC_GEO_038_002
Exencephaly,exencephaly,IMPC_GEO_041_002
Holoprosencephaly,holoprosencephaly,IMPC_GEO_042_002
spina bifida,spina_bifida,IMPC_GEO_043_002
Microphthalmia,microphthalmia,IMPC_GEO_047_002
Anophthalmia,anophthalmia,IMPC_GEO_048_002
Severely Dysmorphic,NA,IMPC_GEO_061_001
Outcome,NA,IMPC_EVP_001_001
Decision,NA,IMPC_EVP_002_001
Comment on Decision (in English),NA,IMPC_EVP_003_001
Total embryos,NA,IMPC_EVP_004_001
Total embryos heterozygous,NA,IMPC_EVP_005_001
Total embryos homozygous,NA,IMPC_EVP_006_001
Total dead embryos,NA,IMPC_EVP_007_001
Total dead WT,NA,IMPC_EVP_008_001
Total dead heterozygous,NA,IMPC_EVP_009_001
Total dead homozygous,NA,IMPC_EVP_010_001
Total gross defect at dissection (alive or dead) embryos,NA,IMPC_EVP_011_001
Total gross defect at dissection (alive or dead) WT,NA,IMPC_EVP_012_001
Total gross defect at dissection (alive or dead) heterozygous,NA,IMPC_EVP_013_001
Total gross defect at dissection (alive or dead) homozygous,NA,IMPC_EVP_014_001
Number of reabsorptions,NA,IMPC_EVP_015_001
Average Litter Size,NA,IMPC_EVP_016_001
% embryos WT,NA,IMPC_EVP_017_001
% embryos heterozygous,NA,IMPC_EVP_018_001
% embryos homozygous,NA,IMPC_EVP_019_001
Time of dark cycle start,NA,IMPC_EVP_020_001
Time of dark cycle end,NA,IMPC_EVP_021_001
Embryo medium,NA,IMPC_EVP_022_001
Total embryos WT,NA,IMPC_EVP_023_001
Total live embryos,NA,IMPC_EVP_024_001
Total live heterozygous,NA,IMPC_EVP_025_001
Total live WT,NA,IMPC_EVP_026_001
Total live homozygous,NA,IMPC_EVP_027_001
Pipeline ID(s),pipeline_ids_applicable_to_housing_conditions,IMPC_HOU_003_002
Date effective from,date_effective_from,IMPC_HOU_004_002
Date effective until,date_effective_until,IMPC_HOU_005_002
Housing - temperature regulated,housing_temperature_regulated,IMPC_HOU_009_001
Housing - temperature range,housing_temperature_range,IMPC_HOU_068_001
Housing - relative humidity regulated,housing_relative_humidity_regulated,IMPC_HOU_012_001
Housing - relative humidity range,housing_relative_humidity_range,IMPC_HOU_069_001
Housing - ventilation managed,housing_ventilation_managed,IMPC_HOU_015_001
Housing - air changes per hour in the room (range),housing_air_changes_per_hour_in_the_room_range,IMPC_HOU_070_001
Housing - IVC ventilation,housing_ivc_ventilation,IMPC_HOU_019_001
Housing - air changes per hour in the IVC unit (range),housing_ivc_ventilation_managed,IMPC_HOU_071_001
Housing - light source,housing_light_source,IMPC_HOU_023_001
Housing - light intensity (range),housing_light_intensity_range,IMPC_HOU_072_001
Housing - time lights switched on,housing_time_lights_switched_on,IMPC_HOU_027_001
Housing - time lights switched off,housing_time_lights_switched_off,IMPC_HOU_028_001
Housing - cage manufacturer,housing_cage_manufacturer,IMPC_HOU_073_001
Housing - cage model,housing_cage_model,IMPC_HOU_074_001
Housing - Racking system manufacturer,housing_rack_system_manufacturer,IMPC_HOU_075_001
Housing - cage dimensions (L x W x H in mm),housing_cage_dimensions_lxwxh,IMPC_HOU_076_001
Housing - animals per cage - Female maximum,housing_female_animals_per_cage_max,IMPC_HOU_077_001
Housing - animals per cage - Female minimum,housing_female_animals_per_cage_min,IMPC_HOU_078_001
Housing - animals per cage - Male maximum,housing_male_animals_per_cage_max,IMPC_HOU_079_001
Housing - animals per cage - Male minimum,housing_male_animals_per_cage_min,IMPC_HOU_080_001
Housing - bedding type,housing_bedding_type,IMPC_HOU_035_002
Housing - bedding pre-treatment,housing_bedding_pre_treatment,IMPC_HOU_036_001
Housing - cage enrichment,housing_cage_enrichment,IMPC_HOU_037_002
Housing - frequency of cage cleaning,housing_frequency_of_cage_cleaning,IMPC_HOU_038_001
Housing - frequency of handling (excluding phenotyping),housing_frequency_of_handling,IMPC_HOU_039_002
Housing - frequency of animal welfare assessments,housing_frequency_of_animal_welfare_assessments,IMPC_HOU_081_001
Nutrition - supplier of diet,nutrition_diet_supplier,IMPC_HOU_082_001
Nutrition - product ID of diet,nutrition_product_id,IMPC_HOU_083_001
Nutrition - diet type,nutrition_diet_type,IMPC_HOU_041_001
Nutrition - average composition (based on mass) - Carbohydrate,nutrition_average_composition_based_on_mass_carbohydrate,IMPC_HOU_043_002
Nutrition - average composition (based on mass) - Fat,nutrition_average_composition_based_on_mass_fat,IMPC_HOU_044_002
Nutrition - average composition (based on mass) - Protein,nutrition_average_composition_based_on_mass_protein,IMPC_HOU_045_002
Nutrition - feeding regime (excluding fasting periods),nutrition_feeding_regime_excluding_fasting_periods,IMPC_HOU_050_001
Nutrition - source of lipids,nutrition_source_of_lipids,IMPC_HOU_051_002
Water - pre-treatment,water_pre_treatment,IMPC_HOU_053_002
Water - schedule (quantity),water_schedule_quantity,IMPC_HOU_054_001
Water - supply method,water_supply_method,IMPC_HOU_055_001
Microbiological status - status of your centre,microbiological_status_status_of_your_centre,IMPC_HOU_056_001
Microbiological status - pathogens testing frequency,microbiological_testing_frequency,IMPC_HOU_084_001
Phenotyping lifestage,phenotyping_lifestage,IMPC_HOU_085_001
Water - quality monitored,water_quality_monitored,IMPC_HOU_052_001
Submission Identifier,NA,IMPC_HOU_086_001
Alive,alive,IMPC_GEP_001_001
Scored,scored,IMPC_GEP_002_001
Behavior/neurological,behavior_neurological,IMPC_GEP_003_001
Cardiovascular System,cardiovascular_system,IMPC_GEP_006_001
Cardiovascular Development,cardiovascular_development,IMPC_GEP_007_001
Heart Development,heart_development,IMPC_GEP_008_001
Outflow tract development,outflow_tract_development,IMPC_GEP_009_001
Heart Morphology,heart_morphology,IMPC_GEP_010_001
Blood Vessel Morphology,blood_vessel_morphology,IMPC_GEP_013_001
Craniofacial,craniofacial,IMPC_GEP_014_001
Head shape,head_shape,IMPC_GEP_015_001
Head size,head_size,IMPC_GEP_016_001
Facial Morphology,facial_morphology,IMPC_GEP_017_001
Digestive/alimentary,digestive_alimentary,IMPC_GEP_020_001
Digestive System Morphology,digestive_system_morphology,IMPC_GEP_021_001
Embryo Size,embryo_size,IMPC_GEP_022_001
Embryo weight,embryo_weight,IMPC_GEP_023_001
Body wall morphology,body_wall_morphology,IMPC_GEP_024_001
Hearing/Vestibular/Ear,hearing_vestibular_ear,IMPC_GEP_025_001
Outer ear morpholgy,outer_ear_morpholgy,IMPC_GEP_026_001
Ear Development,ear_development,IMPC_GEP_027_001
Homeostasis/metabolism,homeostasis_metabolism,IMPC_GEP_028_001
Integument,integument,IMPC_GEP_032_001
Vibrissa Morphology,vibrissa_morphology,IMPC_GEP_033_001
Skin Appearance,skin_appearance,IMPC_GEP_034_001
Skin Coloration,skin_coloration,IMPC_GEP_036_001
Limb Morphology,limb_morphology,IMPC_GEP_037_001
Tail Morphology,tail_morphology,IMPC_GEP_038_001
Liver/Biliary,liver_biliary,IMPC_GEP_040_001
Liver Morphology,liver_morphology,IMPC_GEP_041_001
Liver Size,liver_size,IMPC_GEP_042_001
Muscle,muscle,IMPC_GEP_043_001
Diaphragm Morphology,diaphragm_morphology,IMPC_GEP_044_001
Nervous System,nervous_system,IMPC_GEP_045_001
Brain Development,brain_development,IMPC_GEP_046_001
Renal/Urinary,renal_urinary,IMPC_GEP_050_001
Kidney,kidney,IMPC_GEP_051_001
Respiratory System,respiratory_system,IMPC_GEP_052_001
Lung Morphology,lung_morphology,IMPC_GEP_053_001
Lung Development,lung_development,IMPC_GEP_054_001
Vision/Eye,vision_eye,IMPC_GEP_056_001
Eye Morphology,eye_morphology,IMPC_GEP_057_001
Eye Size,eye_size,IMPC_GEP_058_001
Number of cervical vertebrae,number_of_cervical_vertebrae,IMPC_GEP_062_001
Comment on image,comment_on_image,IMPC_GEP_063_001
Images,images,IMPC_GEP_064_001
Experimenter ID,experimenter_id,IMPC_GEP_065_001
Equipment ID,equipment_id,IMPC_GEP_066_001
Equipment Manufacturer,equipment_manufacturer,IMPC_GEP_067_001
Equipment Model,equipment_model,IMPC_GEP_068_001
Fixative,fixative,IMPC_GEP_069_001
Time of Dissection,time_of_dissection,IMPC_GEP_070_001
Somite Stage,somite_stage,IMPC_GEP_071_001
Time of dark cycle start,time_of_dark_cycle_start,IMPC_GEP_072_001
Time of dark cycle end,time_of_dark_cycle_end,IMPC_GEP_073_001
Date equipment last calibrated,date_equipment_last_calibrated,IMPC_GEP_074_001
Spontaneous movement,no_spontaneous_movement,IMPC_GEP_004_002
Responsive to tactile stimuli,unresponsive_to_tactile_stimuli,IMPC_GEP_005_002
Hemorrhage,hemorrhage,IMPC_GEP_011_002
Skin Hemorrhage,skin_hemorrhage,IMPC_GEP_012_002
Facial Cleft,facial_cleft,IMPC_GEP_018_002
Cleft Palate,cleft_palate,IMPC_GEP_019_002
Cyanosis,cyanosis,IMPC_GEP_029_002
Edema,edema,IMPC_GEP_030_002
Hydrops fetalis (fetal adema),hydrops_fetalis_fetal_adema,IMPC_GEP_031_002
Pallor,pallor,IMPC_GEP_035_002
Polydactyly,polydactyly,IMPC_GEP_039_002
Exencephaly,exencephaly,IMPC_GEP_047_002
Holoprosencephaly,holoprosencephaly,IMPC_GEP_048_002
spina bifida,spina_bifida,IMPC_GEP_049_002
Respiratory Failure,respiratory_failure,IMPC_GEP_055_002
Microphthalmia,microphthalmia,IMPC_GEP_059_002
Anophthalmia,anophthalmia,IMPC_GEP_060_002
Failure of Eyelid Fusion,failure_of_eyelid_fusion,IMPC_GEP_061_002
Severely Dysmorphic,NA,IMPC_GEP_075_001
Embryo reconstruction,NA,IMPC_EMA_001_001
Experimenter ID,NA,IMPC_EMA_002_001
Equipment ID,NA,IMPC_EMA_003_001
Equipment Manufacturer,NA,IMPC_EMA_004_001
Equipment Model,NA,IMPC_EMA_005_001
Equipment Version,NA,IMPC_EMA_006_001
Image Pixel Size,NA,IMPC_EMA_007_001
E18.5 MicroCT Preparation protocol,NA,IMPC_EMA_008_001
Date equipment last calibrated,NA,IMPC_EMA_009_001
Date of Sacrifice,NA,IMPC_EMA_010_001
Date Preparation Finished,NA,IMPC_EMA_011_001
Date of Scan,NA,IMPC_EMA_012_001
Source Voltage,NA,IMPC_EMA_013_001
Source Current,NA,IMPC_EMA_014_001
Object to Source,NA,IMPC_EMA_015_001
Camera to Source,NA,IMPC_EMA_016_001
Screenshots,NA,IMPC_EMA_017_001
Limb digits,NA,IMPC_EMA_018_001
Tail,NA,IMPC_EMA_019_001
Limbs,NA,IMPC_EMA_020_001
Pinna,NA,IMPC_EMA_021_001
Vibrissa,NA,IMPC_EMA_022_001
Edema,NA,IMPC_EMA_023_001
Embryo size,NA,IMPC_EMA_024_001
Spinal Cord,NA,IMPC_EMA_025_001
Spine curvature,NA,IMPC_EMA_026_001
Craniofacial morphology,NA,IMPC_EMA_027_001
Hindbrain subarachnoid space,NA,IMPC_EMA_028_001
Midbrain roof plate,NA,IMPC_EMA_029_001
Midbrain,NA,IMPC_EMA_030_001
Cerebellum,NA,IMPC_EMA_031_001
Cerebral cortex,NA,IMPC_EMA_032_001
Thalamus,NA,IMPC_EMA_033_001
Corpus striatum,NA,IMPC_EMA_034_001
Hippocampus,NA,IMPC_EMA_035_001
Hypothalamus,NA,IMPC_EMA_036_001
Pineal gland,NA,IMPC_EMA_037_001
Pons,NA,IMPC_EMA_038_001
Medulla oblongata,NA,IMPC_EMA_039_001
Lateral ventricles,NA,IMPC_EMA_040_001
Lateral ventricle choroid plexus,NA,IMPC_EMA_041_001
4th ventricle choroid plexus,NA,IMPC_EMA_042_001
4th Ventricle,NA,IMPC_EMA_043_001
Cerebral aqueduct,NA,IMPC_EMA_044_001
Median sulcus,NA,IMPC_EMA_045_001
3rd ventricle,NA,IMPC_EMA_046_001
Olfactory lobe,NA,IMPC_EMA_047_001
Trigeminal ganglion,NA,IMPC_EMA_048_001
Pituitary gland,NA,IMPC_EMA_049_001
Spinal cord cervical region,NA,IMPC_EMA_050_001
Dorsal root ganglion,NA,IMPC_EMA_051_001
Cochlea,NA,IMPC_EMA_052_001
Nasal septum,NA,IMPC_EMA_053_001
Nasal cavity,NA,IMPC_EMA_054_001
Nasopharynx,NA,IMPC_EMA_055_001
Vomeronasal organ,NA,IMPC_EMA_056_001
Oropharynx,NA,IMPC_EMA_057_001
Oral cavity,NA,IMPC_EMA_058_001
Optic nerve,NA,IMPC_EMA_059_001
Intraretinal space,NA,IMPC_EMA_060_001
Hyaloid cavity,NA,IMPC_EMA_061_001
Cornea,NA,IMPC_EMA_062_001
Lens,NA,IMPC_EMA_063_001
Eyelids,NA,IMPC_EMA_064_001
Temporal bone,NA,IMPC_EMA_065_001
Pharyngo-tympanic tube,NA,IMPC_EMA_066_001
Palate,NA,IMPC_EMA_067_001
Epiglottis,NA,IMPC_EMA_068_001
Tongue,NA,IMPC_EMA_069_001
Mandible,NA,IMPC_EMA_070_001
Lower jaw molar,NA,IMPC_EMA_071_001
Upper jaw molar,NA,IMPC_EMA_072_001
Sphenoid bone,NA,IMPC_EMA_073_001
Thyroid gland,NA,IMPC_EMA_074_001
Submandibular gland,NA,IMPC_EMA_075_001
Brown fat,NA,IMPC_EMA_076_001
Vertebrae,NA,IMPC_EMA_077_001
Esophagus,NA,IMPC_EMA_078_001
Clavicle,NA,IMPC_EMA_079_001
Scapula,NA,IMPC_EMA_080_001
Ulna,NA,IMPC_EMA_081_001
Humerus,NA,IMPC_EMA_082_001
Arytenoid cartilage,NA,IMPC_EMA_083_001
Cricoid cartilage,NA,IMPC_EMA_084_001
Trachea,NA,IMPC_EMA_085_001
Carotid artery,NA,IMPC_EMA_086_001
Thymus,NA,IMPC_EMA_087_001
Sternum,NA,IMPC_EMA_088_001
Rib,NA,IMPC_EMA_089_001
T1 rib,NA,IMPC_EMA_090_001
Vena cava,NA,IMPC_EMA_091_001
Inferior vena cava,NA,IMPC_EMA_092_001
Superior vena cava,NA,IMPC_EMA_093_001
Jugular vein,NA,IMPC_EMA_094_001
Ductus arteriosus,NA,IMPC_EMA_095_001
Pulmonary valve,NA,IMPC_EMA_096_001
Pulmonary trunk,NA,IMPC_EMA_097_001
Dorsal aorta,NA,IMPC_EMA_098_001
Ductus venosus,NA,IMPC_EMA_099_001
Aorta,NA,IMPC_EMA_100_001
Aortic valve,NA,IMPC_EMA_101_001
Heart atrium,NA,IMPC_EMA_102_001
Heart ventricle,NA,IMPC_EMA_103_001
Tricuspid valve,NA,IMPC_EMA_104_001
Mitral valve,NA,IMPC_EMA_105_001
Interventricular septum,NA,IMPC_EMA_106_001
Pericardial cavity,NA,IMPC_EMA_107_001
Pericardium,NA,IMPC_EMA_108_001
Main bronchus,NA,IMPC_EMA_109_001
Bronchus,NA,IMPC_EMA_110_001
Right lung cranial lobe,NA,IMPC_EMA_111_001
Right lung middle lobe,NA,IMPC_EMA_112_001
Right lung caudal lobe,NA,IMPC_EMA_113_001
Right lung accessory lobe,NA,IMPC_EMA_114_001
Left lung,NA,IMPC_EMA_115_001
Diaphragm,NA,IMPC_EMA_116_001
Peritoneal cavity,NA,IMPC_EMA_117_001
Liver,NA,IMPC_EMA_118_001
Liver left lobe,NA,IMPC_EMA_119_001
Liver right lobe,NA,IMPC_EMA_120_001
Liver caudate lobe,NA,IMPC_EMA_121_001
Gallbladder,NA,IMPC_EMA_122_001
Liver lobar interzone,NA,IMPC_EMA_123_001
Pancreas,NA,IMPC_EMA_124_001
Stomach,NA,IMPC_EMA_125_001
Pyloric antrum,NA,IMPC_EMA_126_001
Stomach fundus,NA,IMPC_EMA_127_001
Stomach lumen,NA,IMPC_EMA_128_001
Small intestine,NA,IMPC_EMA_129_001
Hindgut,NA,IMPC_EMA_130_001
Midgut,NA,IMPC_EMA_131_001
Hip joint,NA,IMPC_EMA_132_001
Femur,NA,IMPC_EMA_133_001
Fibula,NA,IMPC_EMA_134_001
Tibia,NA,IMPC_EMA_135_001
Adrenal gland,NA,IMPC_EMA_136_001
Kidney,NA,IMPC_EMA_137_001
Renal calyx,NA,IMPC_EMA_138_001
Bladder,NA,IMPC_EMA_139_001
Rectum,NA,IMPC_EMA_140_001
Spleen,NA,IMPC_EMA_141_001
Ovary,NA,IMPC_EMA_142_001
Testes,NA,IMPC_EMA_143_001
Penis,NA,IMPC_EMA_144_001
Circumventricular organ,NA,IMPC_EMA_145_001
Hyoid,NA,IMPC_EMA_146_001
Severely dysmorphic,NA,IMPC_EMA_147_001
Delayed embryonic development,NA,IMPC_EMA_148_001
Annotator ID,NA,IMPC_EMA_149_001
Date of Annotation,NA,IMPC_EMA_150_001
Response amplitude - BN,response_amplitude_bn,IMPC_ACS_001_001
Response amplitude - PP1,response_amplitude_pp1,IMPC_ACS_002_001
Response amplitude - PP2,response_amplitude_pp2,IMPC_ACS_003_001
Response amplitude - PP3,response_amplitude_pp3,IMPC_ACS_004_001
Response amplitude - PP4,response_amplitude_pp4,IMPC_ACS_005_001
Response amplitude - S,response_amplitude_s,IMPC_ACS_006_001
Response amplitude - PP1_S,response_amplitude_pp1_s,IMPC_ACS_007_001
Response amplitude - PP2_S,response_amplitude_pp2_s,IMPC_ACS_008_001
Response amplitude - PP3_S,response_amplitude_pp3_s,IMPC_ACS_009_001
Response amplitude - PP4_S,response_amplitude_pp4_s,IMPC_ACS_010_001
Light level in chamber,light_level_in_chamber,IMPC_ACS_011_001
Date and time,date_and_time,IMPC_ACS_012_001
Experimenter ID,experimenter,IMPC_ACS_014_001
Startle stimulus,startle_pulse,IMPC_ACS_015_001
Background noise,background_noise,IMPC_ACS_016_001
